               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.076504,            0.031375,            0.052404,             0.43416,             0.34004,              0.2819,             0.12389,            0.040986,             0.01184,            0.026657,            0.070111,            0.003321,            0.003321
                   1,            0.055313,            0.024903,            0.029544,             0.43446,             0.39321,             0.33097,             0.14806,            0.040863,             0.01066,            0.018677,            0.039979,           0.0065226,           0.0065226
                   2,            0.053651,            0.023394,            0.023082,             0.39518,             0.44103,             0.36362,             0.17994,            0.042685,            0.011131,            0.018832,           0.0097152,           0.0095922,           0.0095922
                   3,            0.051637,            0.024373,             0.02233,             0.43227,             0.43255,             0.38881,             0.18574,            0.037431,              0.0117,            0.022759,            0.009406,            0.009406,            0.009406
                   4,            0.050715,            0.024401,            0.023312,             0.37716,             0.41213,             0.39413,             0.17879,            0.038664,            0.011653,            0.017841,            0.009406,            0.009406,            0.009406
                   5,            0.046638,            0.024248,            0.021531,             0.40371,             0.44242,             0.38359,             0.17558,            0.036699,            0.011552,            0.017778,            0.009208,            0.009208,            0.009208
                   6,             0.04702,            0.024612,             0.02128,             0.42819,             0.45653,             0.43765,             0.20149,            0.036194,            0.011558,            0.017925,             0.00901,             0.00901,             0.00901
                   7,            0.046537,            0.024359,            0.020236,             0.47799,             0.50163,             0.47309,             0.23076,            0.036722,            0.011153,            0.016711,            0.008812,            0.008812,            0.008812
                   8,             0.04486,            0.024327,            0.018092,             0.43694,             0.50692,             0.47074,             0.23167,            0.035523,            0.011303,            0.013719,            0.008614,            0.008614,            0.008614
                   9,            0.044223,            0.024013,            0.018142,             0.46335,             0.56826,             0.49622,             0.25599,            0.033628,            0.010635,            0.012739,            0.008416,            0.008416,            0.008416
                  10,            0.043035,            0.023682,            0.017199,             0.48037,             0.52735,             0.48528,             0.23304,            0.034081,              0.0106,            0.014775,            0.008218,            0.008218,            0.008218
                  11,             0.04234,            0.023954,            0.017747,             0.51558,             0.59093,             0.54561,             0.28725,            0.032113,            0.010237,             0.01257,             0.00802,             0.00802,             0.00802
                  12,            0.042038,            0.023658,            0.017693,             0.48222,             0.54348,             0.50691,             0.26512,            0.031304,            0.010606,            0.012268,            0.007822,            0.007822,            0.007822
                  13,             0.04185,            0.023288,            0.015969,             0.51719,             0.60733,             0.55151,             0.29563,            0.031624,             0.01022,            0.011441,            0.007624,            0.007624,            0.007624
                  14,            0.041565,            0.022664,            0.015899,             0.44782,             0.61617,             0.52735,             0.28417,            0.031338,             0.01046,            0.010947,            0.007426,            0.007426,            0.007426
                  15,            0.039054,            0.021954,            0.014582,             0.51415,             0.62109,             0.56162,             0.29753,            0.030976,             0.01017,            0.010979,            0.007228,            0.007228,            0.007228
                  16,            0.039317,            0.022677,            0.014777,             0.48625,             0.60873,             0.53869,             0.27993,            0.030737,                0.01,             0.01104,             0.00703,             0.00703,             0.00703
                  17,            0.038766,               0.022,            0.013811,             0.52552,             0.61898,             0.56811,              0.3044,            0.030915,           0.0099705,            0.010054,            0.006832,            0.006832,            0.006832
                  18,            0.038213,            0.022053,            0.015026,             0.54232,             0.64266,             0.58598,             0.30587,            0.031259,           0.0098333,            0.010126,            0.006634,            0.006634,            0.006634
                  19,            0.038626,            0.022086,            0.013342,             0.68441,             0.52032,             0.58289,             0.31531,            0.029965,            0.010106,            0.010176,            0.006436,            0.006436,            0.006436
                  20,            0.038075,            0.022073,            0.013229,             0.51602,             0.65694,             0.58705,             0.32192,            0.031646,           0.0098039,           0.0089568,            0.006238,            0.006238,            0.006238
                  21,            0.038001,            0.021745,            0.013154,             0.54787,             0.65865,             0.60889,             0.33127,            0.030924,           0.0098142,            0.010052,             0.00604,             0.00604,             0.00604
                  22,            0.037539,            0.021921,            0.012724,             0.54281,             0.62079,             0.58403,             0.31899,            0.030261,           0.0098151,           0.0098619,            0.005842,            0.005842,            0.005842
                  23,            0.035892,            0.021372,            0.012386,             0.53571,             0.69276,             0.62327,             0.34132,            0.029604,           0.0096755,           0.0089437,            0.005644,            0.005644,            0.005644
                  24,             0.03542,            0.021058,            0.011727,             0.50277,             0.70453,             0.60058,             0.33085,             0.02955,           0.0096535,            0.010466,            0.005446,            0.005446,            0.005446
                  25,            0.036243,            0.021497,            0.011257,             0.51649,             0.72213,             0.62615,              0.3604,            0.028431,           0.0094421,           0.0080799,            0.005248,            0.005248,            0.005248
                  26,            0.036205,            0.021088,            0.010882,             0.51126,             0.68872,             0.60204,             0.33262,            0.029375,           0.0095232,            0.011201,             0.00505,             0.00505,             0.00505
                  27,             0.03513,            0.020368,            0.010761,             0.55873,             0.68876,             0.63084,             0.35352,            0.029878,           0.0094591,           0.0089107,            0.004852,            0.004852,            0.004852
